TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
0.056,1,34.902,1,2021-11-27 12:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.380,34.944
0.041,1,34.902,1,2021-11-27 13:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.395,34.945
0.043,1,34.901,1,2021-11-27 14:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.406,34.945
0.115,1,34.900,1,2021-11-27 15:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.402,34.945
0.089,1,34.901,1,2021-11-27 16:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.383,34.944
0.107,1,34.902,1,2021-11-27 17:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.355,34.944
0.140,1,34.902,1,2021-11-27 18:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.326,34.943
0.148,1,34.902,1,2021-11-27 19:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.301,34.942
0.156,1,34.901,1,2021-11-27 20:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.287,34.942
0.095,1,34.904,1,2021-11-27 21:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.289,34.942
0.059,1,34.904,1,2021-11-27 22:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.303,34.942
0.019,1,34.903,1,2021-11-27 23:00:00,500,66.015,1.983,406,340,2021-11-27,2021-11,4.326,34.943
0.003,1,34.902,1,2021-11-28 00:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.352,34.943
0.026,1,34.902,1,2021-11-28 01:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.369,34.944
0.035,1,34.901,1,2021-11-28 02:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.375,34.944
0.027,1,34.901,1,2021-11-28 03:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.370,34.944
0.037,1,34.901,1,2021-11-28 04:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.356,34.944
0.095,1,34.900,1,2021-11-28 05:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.335,34.943
0.134,1,34.901,1,2021-11-28 06:00:00,500,66.015,1.983,406,340,2021-11-28,2021-11,4.309,34.942
