TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
0.512,1,34.888,1,2022-03-01 00:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.789,34.928
0.666,1,34.892,1,2022-03-01 01:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.778,34.928
0.740,1,34.889,1,2022-03-01 02:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.770,34.929
0.489,1,34.890,1,2022-03-01 03:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.769,34.929
0.437,1,34.889,1,2022-03-01 04:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.769,34.929
0.352,1,34.891,1,2022-03-01 05:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.765,34.929
0.449,1,34.891,1,2022-03-01 06:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.754,34.929
0.339,1,34.891,1,2022-03-01 07:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.745,34.929
0.482,1,34.890,1,2022-03-01 08:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.749,34.929
1.172,1,34.884,1,2022-03-01 09:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.764,34.929
0.840,1,34.901,1,2022-03-01 10:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.775,34.929
0.729,1,34.885,1,2022-03-01 11:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.774,34.929
0.926,1,34.887,1,2022-03-01 12:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.760,34.929
1.000,1,34.885,1,2022-03-01 13:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.736,34.929
1.096,1,34.881,1,2022-03-01 14:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.713,34.929
0.985,1,34.884,1,2022-03-01 15:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.697,34.929
1.178,1,34.887,1,2022-03-01 16:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.693,34.929
1.188,1,34.884,1,2022-03-01 17:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.700,34.930
0.862,1,34.902,1,2022-03-01 18:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.709,34.930
0.850,1,34.893,1,2022-03-01 19:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.715,34.929
0.866,1,34.888,1,2022-03-01 20:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.716,34.929
0.905,1,34.891,1,2022-03-01 21:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.712,34.929
1.152,1,34.881,1,2022-03-01 22:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.700,34.928
1.318,1,34.883,1,2022-03-01 23:00:00,500,66.015,1.983,406,340,2022-03-01,2022-03,4.680,34.928
1.311,1,34.883,1,2022-03-02 00:00:00,500,66.015,1.983,406,340,2022-03-02,2022-03,4.681,34.929
1.437,1,34.883,1,2022-03-02 01:00:00,500,66.015,1.983,406,340,2022-03-02,2022-03,4.673,34.929
1.469,1,34.884,1,2022-03-02 02:00:00,500,66.015,1.983,406,340,2022-03-02,2022-03,4.681,34.929
1.500,1,34.881,1,2022-03-02 03:00:00,500,66.015,1.983,406,340,2022-03-02,2022-03,4.697,34.929
