TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
0.556,1,34.896,1,2022-01-01 00:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.151,34.916
0.454,1,34.895,1,2022-01-01 01:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.153,34.917
0.614,1,34.896,1,2022-01-01 02:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.182,34.917
0.560,1,34.895,1,2022-01-01 03:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.214,34.917
0.523,1,34.896,1,2022-01-01 04:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.221,34.917
0.544,1,34.896,1,2022-01-01 05:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.185,34.917
0.577,1,34.896,1,2022-01-01 06:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.128,34.917
0.536,1,34.889,1,2022-01-01 07:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.092,34.917
0.384,1,34.896,1,2022-01-01 08:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.084,34.917
0.427,1,34.897,1,2022-01-01 09:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.101,34.917
0.523,1,34.895,1,2022-01-01 10:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.127,34.917
0.549,1,34.896,1,2022-01-01 11:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.144,34.917
0.468,1,34.897,1,2022-01-01 12:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.131,34.917
0.423,1,34.897,1,2022-01-01 13:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.104,34.917
0.435,1,34.896,1,2022-01-01 14:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.093,34.916
0.423,1,34.893,1,2022-01-01 15:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.094,34.917
0.487,1,34.896,1,2022-01-01 16:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.094,34.917
0.432,1,34.897,1,2022-01-01 17:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.086,34.917
0.570,1,34.896,1,2022-01-01 18:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.076,34.917
0.518,1,34.898,1,2022-01-01 19:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.069,34.917
0.538,1,34.895,1,2022-01-01 20:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.068,34.917
0.477,1,34.896,1,2022-01-01 21:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.069,34.917
0.533,1,34.895,1,2022-01-01 22:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.067,34.916
0.542,1,34.898,1,2022-01-01 23:00:00,500,66.015,1.983,406,340,2022-01-01,2022-01,4.063,34.916
0.548,1,34.896,1,2022-01-02 00:00:00,500,66.015,1.983,406,340,2022-01-02,2022-01,4.190,34.915
0.495,1,34.894,1,2022-01-02 01:00:00,500,66.015,1.983,406,340,2022-01-02,2022-01,4.182,34.915
0.476,1,34.895,1,2022-01-02 02:00:00,500,66.015,1.983,406,340,2022-01-02,2022-01,4.187,34.915
0.490,1,34.896,1,2022-01-02 03:00:00,500,66.015,1.983,406,340,2022-01-02,2022-01,4.217,34.916
