TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
-0.502,1,34.909,1,2022-06-01 00:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.186,34.915
-0.495,1,34.909,1,2022-06-01 01:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.180,34.915
-0.515,1,34.911,1,2022-06-01 02:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.179,34.915
-0.524,1,34.908,1,2022-06-01 03:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.180,34.915
-0.510,1,34.910,1,2022-06-01 04:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.184,34.915
-0.508,1,34.907,1,2022-06-01 05:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.186,34.915
-0.512,1,34.911,1,2022-06-01 06:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.188,34.915
-0.508,1,34.909,1,2022-06-01 07:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.192,34.915
-0.511,1,34.910,1,2022-06-01 08:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.199,34.915
-0.507,1,34.909,1,2022-06-01 09:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.202,34.915
-0.502,1,34.910,1,2022-06-01 10:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.201,34.915
-0.491,1,34.909,1,2022-06-01 11:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.199,34.915
-0.486,1,34.910,1,2022-06-01 12:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.199,34.915
-0.485,1,34.909,1,2022-06-01 13:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.199,34.915
-0.489,1,34.909,1,2022-06-01 14:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.200,34.915
-0.483,1,34.909,1,2022-06-01 15:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.201,34.915
-0.485,1,34.909,1,2022-06-01 16:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.204,34.915
-0.484,1,34.910,1,2022-06-01 17:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.206,34.915
-0.504,1,34.909,1,2022-06-01 18:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.207,34.915
-0.508,1,34.909,1,2022-06-01 19:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.208,34.915
-0.506,1,34.909,1,2022-06-01 20:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.210,34.915
-0.511,1,34.909,1,2022-06-01 21:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.213,34.915
-0.482,1,34.909,1,2022-06-01 22:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.218,34.915
-0.486,1,34.909,1,2022-06-01 23:00:00,1200,66.015,1.983,406,340,2022-06-01,2022-06,0.220,34.915
-0.485,1,34.909,1,2022-06-02 00:00:00,1200,66.015,1.983,406,340,2022-06-02,2022-06,0.235,34.915
-0.482,1,34.908,1,2022-06-02 01:00:00,1200,66.015,1.983,406,340,2022-06-02,2022-06,0.231,34.915
-0.487,1,34.909,1,2022-06-02 02:00:00,1200,66.015,1.983,406,340,2022-06-02,2022-06,0.228,34.915
-0.481,1,34.909,1,2022-06-02 03:00:00,1200,66.015,1.983,406,340,2022-06-02,2022-06,0.226,34.915
-0.484,1,34.909,1,2022-06-02 04:00:00,1200,66.015,1.983,406,340,2022-06-02,2022-06,0.228,34.915
