TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
1.217,1,34.881,1,2023-02-01 00:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.895,34.932
1.300,1,34.882,1,2023-02-01 01:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.893,34.932
1.444,1,34.884,1,2023-02-01 02:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.878,34.932
1.287,1,34.880,1,2023-02-01 03:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.858,34.931
1.172,1,34.878,1,2023-02-01 04:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.849,34.931
1.132,1,34.881,1,2023-02-01 05:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.855,34.931
1.203,1,34.864,1,2023-02-01 06:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.865,34.932
1.274,1,34.869,1,2023-02-01 07:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.887,34.933
1.183,1,34.872,1,2023-02-01 08:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.929,34.934
1.364,1,34.869,1,2023-02-01 09:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.971,34.936
1.274,1,34.873,1,2023-02-01 10:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.983,34.937
1.112,1,34.873,1,2023-02-01 11:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.964,34.936
1.336,1,34.894,1,2023-02-01 12:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.932,34.935
1.304,1,34.886,1,2023-02-01 13:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.905,34.934
1.031,1,34.878,1,2023-02-01 14:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.899,34.934
1.083,1,34.879,1,2023-02-01 15:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.902,34.934
1.324,1,34.892,1,2023-02-01 16:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.904,34.934
1.320,1,34.890,1,2023-02-01 17:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.911,34.934
1.290,1,34.882,1,2023-02-01 18:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.919,34.935
1.430,1,34.886,1,2023-02-01 19:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.921,34.935
1.190,1,34.896,1,2023-02-01 20:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.916,34.935
1.157,1,34.888,1,2023-02-01 21:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.901,34.934
1.143,1,34.893,1,2023-02-01 22:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.873,34.933
1.230,1,34.893,1,2023-02-01 23:00:00,500,66.015,1.983,406,340,2023-02-01,2023-02,4.842,34.932
0.852,1,34.887,1,2023-02-02 00:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.860,34.935
1.385,1,34.886,1,2023-02-02 01:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.854,34.934
1.250,1,34.880,1,2023-02-02 02:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.842,34.934
1.577,1,34.890,1,2023-02-02 03:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.809,34.932
1.466,1,34.891,1,2023-02-02 04:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.771,34.931
1.431,1,34.888,1,2023-02-02 05:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.759,34.931
1.383,1,34.888,1,2023-02-02 06:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.760,34.931
1.325,1,34.885,1,2023-02-02 07:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.762,34.931
1.260,1,34.883,1,2023-02-02 08:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.767,34.931
1.135,1,34.881,1,2023-02-02 09:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.748,34.930
1.157,1,34.883,1,2023-02-02 10:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.713,34.929
1.078,1,34.882,1,2023-02-02 11:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.673,34.928
1.290,1,34.877,1,2023-02-02 12:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.640,34.927
1.393,1,34.884,1,2023-02-02 13:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.616,34.926
1.381,1,34.878,1,2023-02-02 14:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.605,34.926
1.294,1,34.892,1,2023-02-02 15:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.611,34.926
1.209,1,34.883,1,2023-02-02 16:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.627,34.927
1.147,1,34.882,1,2023-02-02 17:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.638,34.927
1.135,1,34.881,1,2023-02-02 18:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.634,34.927
1.142,1,34.879,1,2023-02-02 19:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.624,34.927
1.102,1,34.882,1,2023-02-02 20:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.617,34.927
1.160,1,34.879,1,2023-02-02 21:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.614,34.926
1.136,1,34.880,1,2023-02-02 22:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.603,34.926
1.162,1,34.884,1,2023-02-02 23:00:00,500,66.015,1.983,406,340,2023-02-02,2023-02,4.585,34.925
1.195,1,34.884,1,2023-02-03 00:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.618,34.926
1.260,1,34.876,1,2023-02-03 01:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.600,34.925
1.145,1,34.887,1,2023-02-03 02:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.609,34.925
1.219,1,34.877,1,2023-02-03 03:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.640,34.926
1.251,1,34.877,1,2023-02-03 04:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.689,34.928
1.349,1,34.875,1,2023-02-03 05:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.749,34.930
1.312,1,34.877,1,2023-02-03 06:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.765,34.930
1.312,1,34.880,1,2023-02-03 07:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.747,34.929
1.077,1,34.880,1,2023-02-03 08:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.732,34.929
0.998,1,34.882,1,2023-02-03 09:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.720,34.929
1.043,1,34.884,1,2023-02-03 10:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.714,34.929
1.189,1,34.880,1,2023-02-03 11:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.713,34.928
1.186,1,34.882,1,2023-02-03 12:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.720,34.928
1.123,1,34.892,1,2023-02-03 13:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.748,34.929
1.199,1,34.882,1,2023-02-03 14:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.797,34.931
1.301,1,34.878,1,2023-02-03 15:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.855,34.933
1.398,1,34.891,1,2023-02-03 16:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.893,34.934
1.339,1,34.886,1,2023-02-03 17:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.886,34.934
1.166,1,34.882,1,2023-02-03 18:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.838,34.932
1.305,1,34.883,1,2023-02-03 19:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.789,34.931
1.049,1,34.885,1,2023-02-03 20:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.771,34.930
0.954,1,34.877,1,2023-02-03 21:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.787,34.931
1.211,1,34.876,1,2023-02-03 22:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.811,34.932
1.366,1,34.880,1,2023-02-03 23:00:00,500,66.015,1.983,406,340,2023-02-03,2023-02,4.823,34.932
1.390,1,34.885,1,2023-02-04 00:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.813,34.930
1.032,1,34.881,1,2023-02-04 01:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.818,34.930
1.206,1,34.888,1,2023-02-04 02:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.834,34.931
1.385,1,34.881,1,2023-02-04 03:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.849,34.931
1.257,1,34.882,1,2023-02-04 04:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.850,34.931
1.230,1,34.881,1,2023-02-04 05:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.828,34.931
1.287,1,34.882,1,2023-02-04 06:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.772,34.929
1.279,1,34.883,1,2023-02-04 07:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.715,34.927
1.210,1,34.880,1,2023-02-04 08:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.692,34.926
1.125,1,34.886,1,2023-02-04 09:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.702,34.927
1.180,1,34.885,1,2023-02-04 10:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.723,34.928
1.316,1,34.884,1,2023-02-04 11:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.740,34.929
1.512,1,34.888,1,2023-02-04 12:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.746,34.929
1.485,1,34.896,1,2023-02-04 13:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.741,34.929
1.471,1,34.893,1,2023-02-04 14:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.731,34.929
1.416,1,34.898,1,2023-02-04 15:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.722,34.929
1.465,1,34.887,1,2023-02-04 16:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.722,34.929
1.415,1,34.872,1,2023-02-04 17:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.730,34.929
1.620,1,34.882,1,2023-02-04 18:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.735,34.929
1.389,1,34.880,1,2023-02-04 19:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.721,34.929
1.467,1,34.883,1,2023-02-04 20:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.693,34.928
1.248,1,34.894,1,2023-02-04 21:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.666,34.928
1.248,1,34.888,1,2023-02-04 22:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.652,34.928
1.442,1,34.892,1,2023-02-04 23:00:00,500,66.015,1.983,406,340,2023-02-04,2023-02,4.650,34.928
1.585,1,34.899,1,2023-02-05 00:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.638,34.926
1.585,1,34.905,1,2023-02-05 01:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.633,34.926
1.349,1,34.895,1,2023-02-05 02:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.630,34.927
1.674,1,34.894,1,2023-02-05 03:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.628,34.927
1.613,1,34.902,1,2023-02-05 04:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.642,34.928
1.602,1,34.905,1,2023-02-05 05:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.680,34.930
1.335,1,34.886,1,2023-02-05 06:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.706,34.931
1.326,1,34.888,1,2023-02-05 07:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.716,34.932
1.104,1,34.910,1,2023-02-05 08:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.703,34.932
1.048,1,34.874,1,2023-02-05 09:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.674,34.931
1.169,1,34.884,1,2023-02-05 10:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.655,34.931
1.017,1,34.880,1,2023-02-05 11:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.649,34.931
1.221,1,34.890,1,2023-02-05 12:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.645,34.932
1.648,1,34.903,1,2023-02-05 13:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.624,34.932
1.783,1,34.899,1,2023-02-05 14:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.591,34.932
1.654,1,34.903,1,2023-02-05 15:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.576,34.932
1.511,1,34.903,1,2023-02-05 16:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.598,34.933
1.279,1,34.895,1,2023-02-05 17:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.649,34.935
1.091,1,34.890,1,2023-02-05 18:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.710,34.937
1.149,1,34.887,1,2023-02-05 19:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.759,34.938
0.828,1,34.891,1,2023-02-05 20:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.780,34.938
0.966,1,34.885,1,2023-02-05 21:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.779,34.939
0.989,1,34.900,1,2023-02-05 22:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.762,34.938
0.988,1,34.886,1,2023-02-05 23:00:00,500,66.015,1.983,406,340,2023-02-05,2023-02,4.735,34.937
1.476,1,34.880,1,2023-02-06 00:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.721,34.938
1.555,1,34.890,1,2023-02-06 01:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.684,34.936
1.593,1,34.921,1,2023-02-06 02:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.647,34.936
1.467,1,34.887,1,2023-02-06 03:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.617,34.936
1.482,1,34.898,1,2023-02-06 04:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.621,34.936
1.447,1,34.896,1,2023-02-06 05:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.662,34.938
1.374,1,34.889,1,2023-02-06 06:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.705,34.939
1.227,1,34.893,1,2023-02-06 07:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.747,34.940
1.187,1,34.903,1,2023-02-06 08:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.786,34.941
1.153,1,34.907,1,2023-02-06 09:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.794,34.941
1.099,1,34.897,1,2023-02-06 10:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.771,34.940
1.111,1,34.902,1,2023-02-06 11:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.737,34.939
1.455,1,34.888,1,2023-02-06 12:00:00,500,66.015,1.983,406,340,2023-02-06,2023-02,4.720,34.939
