TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
0.609,1,34.885,1,2023-01-01 00:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.759,34.924
0.560,1,34.889,1,2023-01-01 01:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.779,34.925
0.659,1,34.892,1,2023-01-01 02:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.800,34.926
0.651,1,34.894,1,2023-01-01 03:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.821,34.927
0.679,1,34.893,1,2023-01-01 04:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.837,34.927
0.603,1,34.902,1,2023-01-01 05:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.842,34.927
0.695,1,34.902,1,2023-01-01 06:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.825,34.927
0.743,1,34.898,1,2023-01-01 07:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.797,34.926
0.535,1,34.901,1,2023-01-01 08:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.782,34.926
0.448,1,34.899,1,2023-01-01 09:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.796,34.926
0.332,1,34.902,1,2023-01-01 10:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.835,34.928
0.279,1,34.904,1,2023-01-01 11:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.872,34.929
0.212,1,34.899,1,2023-01-01 12:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.892,34.930
0.277,1,34.893,1,2023-01-01 13:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.888,34.929
0.285,1,34.893,1,2023-01-01 14:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.872,34.929
0.187,1,34.895,1,2023-01-01 15:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.859,34.928
0.247,1,34.894,1,2023-01-01 16:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.864,34.929
0.245,1,34.897,1,2023-01-01 17:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.891,34.930
0.232,1,34.894,1,2023-01-01 18:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.919,34.931
0.224,1,34.896,1,2023-01-01 19:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.926,34.931
0.281,1,34.894,1,2023-01-01 20:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.909,34.930
0.315,1,34.891,1,2023-01-01 21:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.887,34.929
0.213,1,34.899,1,2023-01-01 22:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.877,34.929
0.173,1,34.898,1,2023-01-01 23:00:00,500,66.015,1.983,406,340,2023-01-01,2023-01,4.880,34.929
0.281,1,34.893,1,2023-01-02 00:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.944,34.931
0.513,1,34.888,1,2023-01-02 01:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.984,34.932
0.401,1,34.890,1,2023-01-02 02:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.998,34.933
0.346,1,34.890,1,2023-01-02 03:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.988,34.932
0.308,1,34.893,1,2023-01-02 04:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.977,34.932
0.463,1,34.888,1,2023-01-02 05:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.985,34.932
0.788,1,34.884,1,2023-01-02 06:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.989,34.932
0.647,1,34.888,1,2023-01-02 07:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.994,34.932
0.563,1,34.889,1,2023-01-02 08:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.993,34.932
0.690,1,34.888,1,2023-01-02 09:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.991,34.932
0.553,1,34.888,1,2023-01-02 10:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.990,34.932
0.606,1,34.887,1,2023-01-02 11:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.988,34.932
0.360,1,34.896,1,2023-01-02 12:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.987,34.932
0.375,1,34.891,1,2023-01-02 13:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.990,34.932
0.584,1,34.886,1,2023-01-02 14:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,5.000,34.932
0.392,1,34.892,1,2023-01-02 15:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,5.018,34.933
0.303,1,34.893,1,2023-01-02 16:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,5.036,34.934
0.365,1,34.893,1,2023-01-02 17:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,5.044,34.934
0.413,1,34.890,1,2023-01-02 18:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,5.038,34.934
0.432,1,34.889,1,2023-01-02 19:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,5.021,34.933
0.464,1,34.896,1,2023-01-02 20:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.995,34.932
0.406,1,34.889,1,2023-01-02 21:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.968,34.931
0.550,1,34.888,1,2023-01-02 22:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.952,34.930
0.393,1,34.891,1,2023-01-02 23:00:00,500,66.015,1.983,406,340,2023-01-02,2023-01,4.958,34.930
0.454,1,34.888,1,2023-01-03 00:00:00,500,66.015,1.983,406,340,2023-01-03,2023-01,5.010,34.932
0.396,1,34.890,1,2023-01-03 01:00:00,500,66.015,1.983,406,340,2023-01-03,2023-01,5.032,34.933
