TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
0.431,1,34.889,1,2023-06-01 00:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.255,34.924
0.420,1,34.889,1,2023-06-01 01:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.280,34.925
0.426,1,34.890,1,2023-06-01 02:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.297,34.925
0.432,1,34.889,1,2023-06-01 03:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.301,34.925
0.472,1,34.888,1,2023-06-01 04:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.300,34.925
0.438,1,34.889,1,2023-06-01 05:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.314,34.925
0.391,1,34.890,1,2023-06-01 06:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.310,34.925
0.454,1,34.890,1,2023-06-01 07:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.278,34.925
0.424,1,34.890,1,2023-06-01 08:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.261,34.924
0.391,1,34.891,1,2023-06-01 09:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.258,34.924
0.374,1,34.891,1,2023-06-01 10:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.275,34.925
0.373,1,34.894,1,2023-06-01 11:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.313,34.926
0.371,1,34.891,1,2023-06-01 12:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.364,34.927
0.399,1,34.891,1,2023-06-01 13:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.413,34.928
0.451,1,34.890,1,2023-06-01 14:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.446,34.929
0.510,1,34.892,1,2023-06-01 15:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.458,34.929
0.504,1,34.895,1,2023-06-01 16:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.453,34.929
0.407,1,34.891,1,2023-06-01 17:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.441,34.929
0.375,1,34.892,1,2023-06-01 18:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.427,34.929
0.355,1,34.892,1,2023-06-01 19:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.413,34.928
0.372,1,34.891,1,2023-06-01 20:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.402,34.928
0.378,1,34.892,1,2023-06-01 21:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.397,34.928
0.330,1,34.892,1,2023-06-01 22:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.397,34.928
0.336,1,34.893,1,2023-06-01 23:00:00,500,66.015,1.983,406,340,2023-06-01,2023-06,4.403,34.928
0.371,1,34.893,1,2023-06-02 00:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.436,34.929
0.334,1,34.894,1,2023-06-02 01:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.465,34.929
0.349,1,34.893,1,2023-06-02 02:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.489,34.930
0.300,1,34.892,1,2023-06-02 03:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.493,34.930
0.290,1,34.893,1,2023-06-02 04:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.484,34.930
0.302,1,34.893,1,2023-06-02 05:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.478,34.930
0.338,1,34.894,1,2023-06-02 06:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.461,34.929
0.353,1,34.891,1,2023-06-02 07:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.431,34.928
0.342,1,34.892,1,2023-06-02 08:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.413,34.928
0.325,1,34.894,1,2023-06-02 09:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.412,34.928
0.273,1,34.895,1,2023-06-02 10:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.418,34.928
0.260,1,34.894,1,2023-06-02 11:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.418,34.928
0.275,1,34.894,1,2023-06-02 12:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.417,34.928
0.216,1,34.896,1,2023-06-02 13:00:00,500,66.015,1.983,406,340,2023-06-02,2023-06,4.426,34.928
