TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
-0.210,1,34.908,1,2023-01-01 00:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.263,34.905
-0.215,1,34.909,1,2023-01-01 01:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.289,34.905
-0.214,1,34.909,1,2023-01-01 02:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.321,34.904
-0.182,1,34.909,1,2023-01-01 03:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.359,34.904
-0.182,1,34.909,1,2023-01-01 04:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.393,34.904
-0.173,1,34.909,1,2023-01-01 05:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.411,34.903
-0.177,1,34.906,1,2023-01-01 06:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.395,34.903
-0.201,1,34.915,1,2023-01-01 07:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.354,34.904
-0.213,1,34.907,1,2023-01-01 08:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.316,34.904
-0.230,1,34.909,1,2023-01-01 09:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.298,34.905
-0.286,1,34.909,1,2023-01-01 10:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.305,34.904
-0.303,1,34.907,1,2023-01-01 11:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.320,34.904
-0.293,1,34.909,1,2023-01-01 12:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.331,34.904
-0.268,1,34.910,1,2023-01-01 13:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.332,34.904
-0.250,1,34.910,1,2023-01-01 14:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.331,34.904
-0.232,1,34.909,1,2023-01-01 15:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.336,34.904
-0.210,1,34.907,1,2023-01-01 16:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.356,34.904
-0.202,1,34.909,1,2023-01-01 17:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.385,34.904
-0.228,1,34.907,1,2023-01-01 18:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.401,34.904
-0.245,1,34.909,1,2023-01-01 19:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.389,34.904
-0.231,1,34.908,1,2023-01-01 20:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.357,34.904
-0.234,1,34.908,1,2023-01-01 21:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.331,34.904
-0.277,1,34.909,1,2023-01-01 22:00:00,800,66.015,1.983,406,340,2023-01-01,2023-01,1.322,34.904
