TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
0.099,1,34.896,1,2023-04-01 00:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.114,34.903
0.087,1,34.899,1,2023-04-01 01:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.133,34.902
0.099,1,34.901,1,2023-04-01 02:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.147,34.902
0.106,1,34.895,1,2023-04-01 03:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.147,34.902
0.093,1,34.895,1,2023-04-01 04:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.138,34.903
0.107,1,34.896,1,2023-04-01 05:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.134,34.903
0.059,1,34.901,1,2023-04-01 06:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.125,34.903
0.027,1,34.902,1,2023-04-01 07:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.104,34.903
0.010,1,34.901,1,2023-04-01 08:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.085,34.903
0.034,1,34.901,1,2023-04-01 09:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.067,34.903
0.066,1,34.899,1,2023-04-01 10:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.058,34.904
0.071,1,34.903,1,2023-04-01 11:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.061,34.904
0.068,1,34.900,1,2023-04-01 12:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.071,34.904
0.071,1,34.901,1,2023-04-01 13:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.077,34.904
0.150,1,34.896,1,2023-04-01 14:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.079,34.904
0.130,1,34.900,1,2023-04-01 15:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.076,34.904
0.133,1,34.900,1,2023-04-01 16:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.070,34.904
0.072,1,34.901,1,2023-04-01 17:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.064,34.904
0.061,1,34.902,1,2023-04-01 18:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.060,34.904
0.063,1,34.901,1,2023-04-01 19:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.059,34.905
0.079,1,34.901,1,2023-04-01 20:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.060,34.905
0.091,1,34.901,1,2023-04-01 21:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.062,34.905
0.072,1,34.900,1,2023-04-01 22:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.059,34.905
0.035,1,34.900,1,2023-04-01 23:00:00,800,66.015,1.983,406,340,2023-04-01,2023-04,1.050,34.905
0.127,1,34.897,1,2023-04-02 00:00:00,800,66.015,1.983,406,340,2023-04-02,2023-04,1.012,34.904
0.158,1,34.898,1,2023-04-02 01:00:00,800,66.015,1.983,406,340,2023-04-02,2023-04,1.000,34.904
