,TIME,ensemble,ErrorFlags,TEMP,Pressure,PSAL,DEPTH,LATITUDE,LONGITUDE,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
869,2022-05-19 12:00:00,10428.5,20.0,-0.6744249999999999,380.90625,34.76988333333333,376.58413622196423,76.107,15.967,292.0,444.0,2022-05-19,2022-05,1.992035573656954,34.791555832184336
870,2022-05-19 13:00:00,10440.5,20.0,-0.6463,381.03908333333334,34.76785833333333,376.71534164719714,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.0084724677425605,34.790347518246726
871,2022-05-19 14:00:00,10452.5,20.0,-0.6063583333333333,381.0230833333333,34.76606666666667,376.6995377365551,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.0376871550009157,34.78951880908417
872,2022-05-19 15:00:00,10464.5,20.0,-0.5632166666666667,380.88033333333334,34.76345833333333,376.5585371634834,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.0766742877809863,34.78940514055576
873,2022-05-19 16:00:00,10476.5,20.0,-0.5575333333333333,380.6455833333334,34.76229166666666,376.32666385813553,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.1173708394017794,34.789928486227495
874,2022-05-19 17:00:00,10488.5,20.0,-0.571425,380.3441666666667,34.76289166666667,376.0289404635539,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.150910497492707,34.79065701580221
875,2022-05-19 18:00:00,10500.5,20.0,-0.59085,380.0901666666667,34.76423333333333,375.7780524135799,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.1699610362887833,34.7910266625686
876,2022-05-19 19:00:00,10512.5,20.0,-0.6035916666666666,379.9446666666667,34.76493333333333,375.63433490856437,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.1689459958765935,34.79062458689867
877,2022-05-19 20:00:00,10524.5,20.0,-0.6057750000000001,379.92741666666666,34.76566666666667,375.6172962294832,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.1497789057607797,34.789554729937805
878,2022-05-19 21:00:00,10536.5,20.0,-0.616075,380.0626666666667,34.766375000000004,375.7508893170118,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.1236860494110905,34.7882858003852
879,2022-05-19 22:00:00,10548.5,20.0,-0.6025166666666667,380.2975833333333,34.76488333333334,375.98292788436737,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.102580137889822,34.787198507190325
880,2022-05-19 23:00:00,10560.5,20.0,-0.5817416666666667,380.58408333333335,34.764183333333335,376.2659174528724,76.107,15.967,292.0,444.0,2022-05-19,2022-05,2.0949554035534215,34.7865194245457
881,2022-05-20 00:00:00,10572.5,20.0,-0.5826333333333333,380.8643333333334,34.761116666666666,376.5427332372833,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.104312526306203,34.786340709988316
882,2022-05-20 01:00:00,10584.5,20.0,-0.5967666666666667,381.04583333333335,34.75660833333333,376.72200891976723,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.1301894728415176,34.78684081614345
883,2022-05-20 02:00:00,10596.5,20.0,-0.6018166666666667,381.07683333333335,34.75889166666666,376.75262899402406,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.1674093636939458,34.788054010589505
884,2022-05-20 03:00:00,10608.5,20.0,-0.5999,380.97391666666664,34.759475,376.650973625802,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.2067717747486153,34.78975895577409
885,2022-05-20 04:00:00,10620.5,20.0,-0.595175,380.76375,34.75803333333333,376.44338250837353,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.238676593602232,34.79145213195457
886,2022-05-20 05:00:00,10632.5,20.0,-0.5873,380.4793333333334,34.75825,376.162450978328,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.2574903477697013,34.79270487143428
887,2022-05-20 06:00:00,10644.5,20.0,-0.5792166666666666,380.2,34.758424999999995,375.8865401317651,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.262033347565965,34.79334811825296
888,2022-05-20 07:00:00,10656.5,20.0,-0.6004833333333334,380.00216666666665,34.762325,375.69113049865297,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.253547989744506,34.79332964853156
889,2022-05-20 08:00:00,10668.5,20.0,-0.6801166666666667,379.93825,34.768724999999996,375.6279968510196,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.2353357502818874,34.79279229042483
890,2022-05-20 09:00:00,10680.5,20.0,-0.7012499999999999,379.9986666666667,34.771341666666665,375.68767337741247,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.2147024378784774,34.7920080121415
891,2022-05-20 10:00:00,10692.5,20.0,-0.7041499999999999,380.16616666666664,34.77175833333333,375.8531213121589,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.1993468840989667,34.791276620299826
892,2022-05-20 11:00:00,10704.5,20.0,-0.7021666666666667,380.41024999999996,34.77161666666667,376.0942141155237,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.195393024059571,34.790880911113746
893,2022-05-20 12:00:00,10716.5,20.0,-0.6945583333333333,380.6739166666667,34.7712,376.35465000149526,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.207294881965666,34.79124882076215
894,2022-05-20 13:00:00,10728.5,20.0,-0.6952333333333334,380.89591666666666,34.7714,376.57392952592517,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.234429090267058,34.79281437724512
895,2022-05-20 14:00:00,10740.5,20.0,-0.6906583333333334,380.9975,34.771225,376.6742679405026,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.26437000292076,34.79533632310985
896,2022-05-20 15:00:00,10752.5,20.0,-0.6818416666666667,380.9625833333334,34.770741666666666,376.63977918883666,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.2790411796814203,34.79775769851608
897,2022-05-20 16:00:00,10764.5,20.0,-0.6744583333333334,380.82633333333337,34.77021666666667,376.50519892088533,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.266445812691736,34.79862862269982
898,2022-05-20 17:00:00,10776.5,20.0,-0.6681083333333334,380.6155833333333,34.769758333333336,376.29703147227866,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.225285839846716,34.7973595204132
899,2022-05-20 18:00:00,10788.5,20.0,-0.669925,380.3618333333333,34.769983333333336,376.04639067645644,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.1588131606361705,34.79434760006532
900,2022-05-20 19:00:00,10800.5,20.0,-0.6755666666666666,380.1558333333333,34.77011666666667,375.8429145824883,76.107,15.967,292.0,444.0,2022-05-20,2022-05,2.0739856542278132,34.790295245531595
901,2022-05-20 20:00:00,10812.5,20.0,-0.6794916666666667,380.04125,34.77050833333333,375.729735033194,76.107,15.967,292.0,444.0,2022-05-20,2022-05,1.985838783418537,34.78617040871646
902,2022-05-20 21:00:00,10824.5,20.0,-0.6821333333333334,380.05916666666667,34.77075,375.74743220305095,76.107,15.967,292.0,444.0,2022-05-20,2022-05,1.9124516942476966,34.782903335288225
903,2022-05-20 22:00:00,10836.5,20.0,-0.6829666666666667,380.18966666666665,34.77080833333333,375.87633340463066,76.107,15.967,292.0,444.0,2022-05-20,2022-05,1.8582305510893389,34.78052988176755
904,2022-05-20 23:00:00,10848.5,20.0,-0.6805916666666666,380.397,34.77061666666666,376.0811264659339,76.107,15.967,292.0,444.0,2022-05-20,2022-05,1.8109988317975056,34.778162324244605
905,2022-05-21 00:00:00,10860.5,20.0,-0.6768333333333333,380.6538333333333,34.77035,376.3348127669028,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.945636397348038,34.78488186968796
906,2022-05-21 01:00:00,10872.5,20.0,-0.6737583333333333,380.8781666666667,34.770208333333336,376.5563970483911,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.8905832688872557,34.78112696483326
907,2022-05-21 02:00:00,10884.5,20.0,-0.6702750000000001,381.0124166666667,34.76988333333333,376.68900179590236,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.8165852675025507,34.77525711360132
908,2022-05-21 03:00:00,10896.5,20.0,-0.6637666666666666,381.01325,34.76951666666667,376.6898249163609,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.7351047892269353,34.76796238151944
909,2022-05-21 04:00:00,10908.5,20.0,-0.6525333333333333,380.90925,34.76905,376.5870994606849,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.6655674206135602,34.76114406942692
910,2022-05-21 05:00:00,10920.5,20.0,-0.6594416666666666,380.71875,34.769075,376.39893395036216,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.6180728132607807,34.756408302874654
911,2022-05-21 06:00:00,10932.5,20.0,-0.6788333333333334,380.4681666666667,34.76995,376.1514211412014,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.585689040812349,34.75368177473994
912,2022-05-21 07:00:00,10944.5,20.0,-0.6866333333333333,380.22475000000003,34.77075,375.91098690498256,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.5619541170929263,34.75245889731928
913,2022-05-21 08:00:00,10956.5,20.0,-0.6824499999999999,380.0589166666667,34.770608333333335,375.7471852645164,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.543372672581906,34.75217007828642
914,2022-05-21 09:00:00,10968.5,20.0,-0.6635166666666666,379.99858333333333,34.768075,375.68759106767317,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.5273066437781406,34.75215108313194
915,2022-05-21 10:00:00,10980.5,20.0,-0.651025,380.04475,34.76566666666667,375.7331921539248,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.5070880437022396,34.75146411443293
916,2022-05-21 11:00:00,10992.5,20.0,-0.6508083333333333,380.1780833333333,34.764975,375.86489198571303,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.4736265372571113,34.749202558308376
917,2022-05-21 12:00:00,11004.5,20.0,-0.648525,380.37758333333335,34.76459166666667,376.06194770327426,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.4181786550352684,34.744857938917804
918,2022-05-21 13:00:00,11016.5,20.0,-0.6547916666666667,380.59616666666665,34.76504166666667,376.27785273376224,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.336661713069492,34.738358631500326
919,2022-05-21 14:00:00,11028.5,20.0,-0.6712250000000001,380.77425,34.76685833333333,376.4537538459254,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.231754796472528,34.72987011617769
920,2022-05-21 15:00:00,11040.5,20.0,-0.6772416666666666,380.853,34.768766666666664,376.5315388022161,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.1145554376772884,34.72013794650619
921,2022-05-21 16:00:00,11052.5,20.0,-0.6781166666666666,380.83833333333337,34.769933333333334,376.5170518709023,76.107,15.967,292.0,444.0,2022-05-21,2022-05,1.0007102567849426,34.71060029753439
922,2022-05-21 17:00:00,11064.5,20.0,-0.6776749999999999,380.72925000000004,34.770266666666664,376.40930528780956,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.9042801309710538,34.7026812149083
923,2022-05-21 18:00:00,11076.5,20.0,-0.6774,380.55708333333337,34.77030833333333,376.239248306292,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.8296730093972233,34.69676566139468
924,2022-05-21 19:00:00,11088.5,20.0,-0.6778749999999999,380.3595833333334,34.77035,376.04416824933173,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.7730641066427197,34.692486228360075
925,2022-05-21 20:00:00,11100.5,20.0,-0.6768166666666667,380.18875,34.770266666666664,375.87542796992005,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.7313504723278421,34.68954130808589
926,2022-05-21 21:00:00,11112.5,20.0,-0.6765166666666667,380.1099166666667,34.770158333333335,375.7975604606186,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.6997919563764559,34.687608128825055
927,2022-05-21 22:00:00,11124.5,20.0,-0.6775916666666667,380.13149999999996,34.7702,375.81887936977733,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.6726955314873933,34.68637708651936
928,2022-05-21 23:00:00,11136.5,20.0,-0.6786583333333334,380.2510833333333,34.77048333333333,375.9369976108098,76.107,15.967,292.0,444.0,2022-05-21,2022-05,0.6471204376063778,34.685696739141704
929,2022-05-22 00:00:00,11148.5,20.0,-0.6785083333333333,380.43699999999995,34.770408333333336,376.1206363604083,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.94172746795874,34.70656671060596
930,2022-05-22 01:00:00,11160.5,20.0,-0.680325,380.6458333333333,34.77056666666667,376.3269108020084,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.9463911296834151,34.70732965375381
931,2022-05-22 02:00:00,11172.5,20.0,-0.6802416666666667,380.83616666666666,34.770466666666664,376.5149117518063,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.9522370462792051,34.70778598526719
932,2022-05-22 03:00:00,11184.5,20.0,-0.6789000000000001,380.94599999999997,34.77048333333333,376.62339908926924,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.9545494446353576,34.70772253246457
933,2022-05-22 04:00:00,11196.5,20.0,-0.6776333333333334,380.95008333333334,34.77024166666667,376.62743238069015,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.9498704566760651,34.70711463503885
934,2022-05-22 05:00:00,11208.5,20.0,-0.6746666666666666,380.8625,34.77014166666667,376.54092237907184,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.9373968339232399,34.70596273675493
935,2022-05-22 06:00:00,11220.5,20.0,-0.6731916666666667,380.69508333333334,34.769749999999995,376.3755572987449,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.9186986979874349,34.7042964422033
936,2022-05-22 07:00:00,11232.5,20.0,-0.6721166666666667,380.4870833333334,34.76959166666666,376.1701060263178,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.897980272499488,34.702365816420055
937,2022-05-22 08:00:00,11244.5,20.0,-0.6722083333333333,380.2773333333333,34.769816666666664,375.9629259948976,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.880358324149622,34.7005891774251
938,2022-05-22 09:00:00,11256.5,20.0,-0.6693166666666667,380.12716666666665,34.7697,375.81459912397077,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8687909089373531,34.699315242440164
939,2022-05-22 10:00:00,11268.5,20.0,-0.6689416666666667,380.05733333333336,34.769275,375.7456213310145,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8621613426087102,34.698651395648824
940,2022-05-22 11:00:00,11280.5,20.0,-0.6726083333333334,380.08033333333333,34.76933333333333,375.76833955663864,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8569809068635481,34.69852347356866
941,2022-05-22 12:00:00,11292.5,20.0,-0.6724916666666667,380.1756666666667,34.76959166666666,375.8625049299569,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.852714918962054,34.69897967194801
942,2022-05-22 13:00:00,11304.5,20.0,-0.6727249999999999,380.32375,34.77001666666667,376.00877395983076,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8527761433793364,34.70014794827215
943,2022-05-22 14:00:00,11316.5,20.0,-0.6733833333333333,380.49483333333336,34.770316666666666,376.17776106951584,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8604069301562489,34.70196531996304
944,2022-05-22 15:00:00,11328.5,20.0,-0.6735000000000001,380.63983333333334,34.7703,376.3209843295305,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8733632551261816,34.70407004423036
945,2022-05-22 16:00:00,11340.5,20.0,-0.6699333333333334,380.71408333333335,34.7699,376.39432447918057,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8846544231735474,34.70601741937723
946,2022-05-22 17:00:00,11352.5,20.0,-0.664675,380.70458333333335,34.769308333333335,376.38494089247075,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8867935258915567,34.707424862496026
947,2022-05-22 18:00:00,11364.5,20.0,-0.6663166666666667,380.63391666666666,34.76933333333333,376.3151401649211,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8763669336541691,34.70802517264892
948,2022-05-22 19:00:00,11376.5,20.0,-0.6691416666666666,380.4979166666667,34.76954166666666,376.18080662324337,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8559279431850468,34.70779767652211
949,2022-05-22 20:00:00,11388.5,20.0,-0.6644083333333334,380.33891666666665,34.7696,376.02375480161095,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8324859031343494,34.706983111866165
950,2022-05-22 21:00:00,11400.5,20.0,-0.6511333333333333,380.19699999999995,34.76895833333334,375.88357689525884,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8136831989143982,34.70603448894766
951,2022-05-22 22:00:00,11412.5,20.0,-0.6410583333333334,380.11958333333337,34.768375,375.80710869860394,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8040673564048566,34.70539323175591
952,2022-05-22 23:00:00,11424.5,20.0,-0.644475,380.123,34.76821666666667,375.8104835066674,76.107,15.967,292.0,444.0,2022-05-22,2022-05,0.8043744859023874,34.70532575165546
