DEPTH,TIME,TEMP,TEMP_QC,PSAL,PSAL_QC,LON,LAT,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
500.000,2021-01-01 00:00:00,0.336,1.000,34.891,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.612,34.924
500.000,2021-01-01 01:00:00,0.482,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.635,34.925
500.000,2021-01-01 02:00:00,0.452,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.650,34.925
500.000,2021-01-01 03:00:00,0.539,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.651,34.925
500.000,2021-01-01 04:00:00,0.473,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.635,34.925
500.000,2021-01-01 05:00:00,0.432,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.618,34.925
500.000,2021-01-01 06:00:00,0.463,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.610,34.924
500.000,2021-01-01 07:00:00,0.469,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.615,34.925
500.000,2021-01-01 08:00:00,0.439,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.632,34.925
500.000,2021-01-01 09:00:00,0.409,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.664,34.925
500.000,2021-01-01 10:00:00,0.428,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.708,34.926
500.000,2021-01-01 11:00:00,0.407,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.750,34.926
500.000,2021-01-01 12:00:00,0.362,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.787,34.927
500.000,2021-01-01 13:00:00,0.441,1.000,34.882,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.818,34.927
500.000,2021-01-01 14:00:00,0.470,1.000,34.890,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.828,34.927
500.000,2021-01-01 15:00:00,0.521,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.810,34.927
500.000,2021-01-01 16:00:00,0.520,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.781,34.927
500.000,2021-01-01 17:00:00,0.539,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.754,34.926
500.000,2021-01-01 18:00:00,0.531,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.736,34.926
500.000,2021-01-01 19:00:00,0.474,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.739,34.926
500.000,2021-01-01 20:00:00,0.460,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.769,34.926
500.000,2021-01-01 21:00:00,0.449,1.000,34.891,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.821,34.927
500.000,2021-01-01 22:00:00,0.497,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.872,34.927
500.000,2021-01-01 23:00:00,0.478,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-01,2021-01,3.907,34.927
500.000,2021-01-02 00:00:00,0.508,1.000,34.890,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.899,34.918
500.000,2021-01-02 01:00:00,0.522,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.901,34.918
500.000,2021-01-02 02:00:00,0.605,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.898,34.918
500.000,2021-01-02 03:00:00,0.637,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.897,34.918
500.000,2021-01-02 04:00:00,0.773,1.000,34.885,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.900,34.918
500.000,2021-01-02 05:00:00,0.798,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.910,34.918
500.000,2021-01-02 06:00:00,0.761,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.924,34.918
500.000,2021-01-02 07:00:00,0.722,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.934,34.918
500.000,2021-01-02 08:00:00,0.666,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.939,34.918
500.000,2021-01-02 09:00:00,0.669,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.935,34.918
500.000,2021-01-02 10:00:00,0.621,1.000,34.881,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.925,34.918
500.000,2021-01-02 11:00:00,0.577,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.915,34.918
500.000,2021-01-02 12:00:00,0.644,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.909,34.918
500.000,2021-01-02 13:00:00,0.641,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.912,34.918
500.000,2021-01-02 14:00:00,0.801,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.919,34.918
500.000,2021-01-02 15:00:00,0.818,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.927,34.918
500.000,2021-01-02 16:00:00,0.886,1.000,34.882,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.939,34.918
500.000,2021-01-02 17:00:00,0.797,1.000,34.885,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.954,34.918
500.000,2021-01-02 18:00:00,0.780,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.967,34.918
500.000,2021-01-02 19:00:00,0.725,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.975,34.918
500.000,2021-01-02 20:00:00,0.612,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.975,34.918
500.000,2021-01-02 21:00:00,0.694,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.971,34.918
500.000,2021-01-02 22:00:00,0.670,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.964,34.918
500.000,2021-01-02 23:00:00,0.792,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-02,2021-01,0.957,34.918
500.000,2021-01-03 00:00:00,0.667,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.294,34.916
500.000,2021-01-03 01:00:00,0.719,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.300,34.916
500.000,2021-01-03 02:00:00,0.726,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.303,34.915
500.000,2021-01-03 03:00:00,0.709,1.000,34.880,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.303,34.915
500.000,2021-01-03 04:00:00,0.630,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.304,34.915
500.000,2021-01-03 05:00:00,0.672,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.308,34.916
500.000,2021-01-03 06:00:00,0.812,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.313,34.916
500.000,2021-01-03 07:00:00,0.781,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.316,34.916
500.000,2021-01-03 08:00:00,0.762,1.000,34.886,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.317,34.916
500.000,2021-01-03 09:00:00,0.674,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.314,34.916
500.000,2021-01-03 10:00:00,0.756,1.000,34.884,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.311,34.916
500.000,2021-01-03 11:00:00,0.562,1.000,34.888,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.306,34.915
500.000,2021-01-03 12:00:00,0.603,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.304,34.915
500.000,2021-01-03 13:00:00,0.590,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.304,34.915
500.000,2021-01-03 14:00:00,0.519,1.000,34.885,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.307,34.915
500.000,2021-01-03 15:00:00,0.609,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.309,34.915
500.000,2021-01-03 16:00:00,0.719,1.000,34.885,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.315,34.915
500.000,2021-01-03 17:00:00,0.665,1.000,34.887,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.322,34.915
500.000,2021-01-03 18:00:00,0.667,1.000,34.889,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.327,34.915
500.000,2021-01-03 19:00:00,0.715,1.000,34.878,1.000,2.203,65.829,400,333,2021-01-03,2021-01,0.329,34.915
