DEPTH,TIME,TEMP,TEMP_QC,PSAL,PSAL_QC,LON,LAT,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
500.000,2021-04-01 00:00:00,2.134,1.000,34.899,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 01:00:00,2.759,1.000,34.908,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 02:00:00,2.983,1.000,34.913,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 03:00:00,2.853,1.000,34.918,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 04:00:00,2.702,1.000,34.916,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 05:00:00,2.322,1.000,34.901,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 06:00:00,2.450,1.000,34.906,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 07:00:00,1.966,1.000,34.905,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 08:00:00,2.033,1.000,34.906,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 09:00:00,2.230,1.000,34.903,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 10:00:00,2.310,1.000,34.902,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 11:00:00,2.132,1.000,34.903,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 12:00:00,2.062,1.000,34.902,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 13:00:00,2.032,1.000,34.896,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 14:00:00,2.031,1.000,34.903,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 15:00:00,1.912,1.000,34.904,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 16:00:00,1.982,1.000,34.899,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 17:00:00,1.964,1.000,34.900,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 18:00:00,1.845,1.000,34.902,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 19:00:00,1.793,1.000,34.901,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 20:00:00,1.669,1.000,34.906,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 21:00:00,1.738,1.000,34.915,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 22:00:00,1.899,1.000,34.901,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-01 23:00:00,1.881,1.000,34.903,1.000,2.203,65.829,400,333,2021-04-01,2021-04,,
500.000,2021-04-02 00:00:00,1.919,1.000,34.896,1.000,2.203,65.829,400,333,2021-04-02,2021-04,,
500.000,2021-04-02 01:00:00,1.840,1.000,34.899,1.000,2.203,65.829,400,333,2021-04-02,2021-04,,
500.000,2021-04-02 02:00:00,1.969,1.000,34.895,1.000,2.203,65.829,400,333,2021-04-02,2021-04,,
500.000,2021-04-02 03:00:00,2.047,1.000,34.899,1.000,2.203,65.829,400,333,2021-04-02,2021-04,,
500.000,2021-04-02 04:00:00,1.875,1.000,34.897,1.000,2.203,65.829,400,333,2021-04-02,2021-04,,
