DEPTH,TIME,TEMP,TEMP_QC,PSAL,PSAL_QC,LON,LAT,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
500.000,2021-06-01 00:00:00,0.469,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 01:00:00,0.423,1.000,34.883,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 02:00:00,0.403,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 03:00:00,0.425,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 04:00:00,0.452,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 05:00:00,0.431,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 06:00:00,0.501,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 07:00:00,0.405,1.000,34.889,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 08:00:00,0.392,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 09:00:00,0.409,1.000,34.886,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 10:00:00,0.437,1.000,34.883,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 11:00:00,0.511,1.000,34.888,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 12:00:00,0.462,1.000,34.890,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 13:00:00,0.501,1.000,34.881,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 14:00:00,0.469,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 15:00:00,0.454,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 16:00:00,0.488,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 17:00:00,0.451,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 18:00:00,0.400,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 19:00:00,0.346,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 20:00:00,0.407,1.000,34.879,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 21:00:00,0.431,1.000,34.883,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 22:00:00,0.399,1.000,34.883,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-01 23:00:00,0.403,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-01,2021-06,,
500.000,2021-06-02 00:00:00,0.449,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 01:00:00,0.401,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 02:00:00,0.396,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 03:00:00,0.385,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 04:00:00,0.427,1.000,34.884,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 05:00:00,0.346,1.000,34.879,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 06:00:00,0.345,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 07:00:00,0.391,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 08:00:00,0.313,1.000,34.886,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 09:00:00,0.308,1.000,34.882,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
500.000,2021-06-02 10:00:00,0.312,1.000,34.885,1.000,2.203,65.829,400,333,2021-06-02,2021-06,,
