DEPTH,TIME,TEMP,TEMP_QC,PSAL,PSAL_QC,LON,LAT,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
500.000,2021-05-01 00:00:00,2.401,1.000,34.897,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.190,34.942
500.000,2021-05-01 01:00:00,2.499,1.000,34.893,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.174,34.942
500.000,2021-05-01 02:00:00,2.499,1.000,34.892,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.149,34.941
500.000,2021-05-01 03:00:00,2.702,1.000,34.891,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.122,34.941
500.000,2021-05-01 04:00:00,3.142,1.000,34.896,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.101,34.941
500.000,2021-05-01 05:00:00,3.220,1.000,34.894,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.093,34.941
500.000,2021-05-01 06:00:00,3.141,1.000,34.899,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.094,34.941
500.000,2021-05-01 07:00:00,3.121,1.000,34.898,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.104,34.941
500.000,2021-05-01 08:00:00,3.114,1.000,34.899,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.128,34.941
500.000,2021-05-01 09:00:00,3.105,1.000,34.899,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.158,34.942
500.000,2021-05-01 10:00:00,3.149,1.000,34.896,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.182,34.942
500.000,2021-05-01 11:00:00,3.037,1.000,34.895,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.146,34.942
500.000,2021-05-01 12:00:00,2.984,1.000,34.897,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.099,34.941
500.000,2021-05-01 13:00:00,2.932,1.000,34.896,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.100,34.941
500.000,2021-05-01 14:00:00,2.924,1.000,34.896,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.114,34.941
500.000,2021-05-01 15:00:00,3.003,1.000,34.894,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.130,34.942
500.000,2021-05-01 16:00:00,3.262,1.000,34.897,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.106,34.941
500.000,2021-05-01 17:00:00,3.297,1.000,34.899,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.052,34.941
500.000,2021-05-01 18:00:00,3.648,1.000,34.908,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.022,34.941
500.000,2021-05-01 19:00:00,3.524,1.000,34.884,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.009,34.941
500.000,2021-05-01 20:00:00,3.716,1.000,34.908,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.014,34.941
500.000,2021-05-01 21:00:00,3.840,1.000,34.900,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.035,34.941
500.000,2021-05-01 22:00:00,3.646,1.000,34.902,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.056,34.941
500.000,2021-05-01 23:00:00,3.515,1.000,34.902,1.000,2.203,65.829,400,333,2021-05-01,2021-05,4.063,34.941
500.000,2021-05-02 00:00:00,3.603,1.000,34.901,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.196,34.920
500.000,2021-05-02 01:00:00,3.481,1.000,34.893,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.218,34.920
500.000,2021-05-02 02:00:00,3.504,1.000,34.901,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.237,34.920
500.000,2021-05-02 03:00:00,3.589,1.000,34.895,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.248,34.920
500.000,2021-05-02 04:00:00,3.681,1.000,34.892,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.251,34.920
500.000,2021-05-02 05:00:00,3.910,1.000,34.914,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.242,34.920
500.000,2021-05-02 06:00:00,4.169,1.000,34.930,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.224,34.920
500.000,2021-05-02 07:00:00,3.907,1.000,34.911,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.203,34.920
500.000,2021-05-02 08:00:00,3.860,1.000,34.907,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.188,34.920
500.000,2021-05-02 09:00:00,4.423,1.000,34.910,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.181,34.920
500.000,2021-05-02 10:00:00,4.259,1.000,34.918,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.178,34.920
500.000,2021-05-02 11:00:00,4.468,1.000,34.951,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.152,34.920
500.000,2021-05-02 12:00:00,4.400,1.000,34.914,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.132,34.920
500.000,2021-05-02 13:00:00,4.034,1.000,34.913,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.151,34.920
500.000,2021-05-02 14:00:00,3.762,1.000,34.906,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.182,34.920
500.000,2021-05-02 15:00:00,4.321,1.000,34.939,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.216,34.920
500.000,2021-05-02 16:00:00,4.383,1.000,34.945,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.218,34.920
500.000,2021-05-02 17:00:00,4.303,1.000,34.943,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.193,34.920
500.000,2021-05-02 18:00:00,4.439,1.000,34.943,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.171,34.920
500.000,2021-05-02 19:00:00,4.647,1.000,34.935,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.147,34.920
500.000,2021-05-02 20:00:00,4.569,1.000,34.946,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.127,34.919
500.000,2021-05-02 21:00:00,4.591,1.000,34.927,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.113,34.919
500.000,2021-05-02 22:00:00,4.445,1.000,34.899,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.103,34.919
500.000,2021-05-02 23:00:00,4.196,1.000,34.924,1.000,2.203,65.829,400,333,2021-05-02,2021-05,1.094,34.919
500.000,2021-05-03 00:00:00,4.203,1.000,34.919,1.000,2.203,65.829,400,333,2021-05-03,2021-05,0.430,34.916
500.000,2021-05-03 01:00:00,4.262,1.000,34.910,1.000,2.203,65.829,400,333,2021-05-03,2021-05,0.439,34.916
500.000,2021-05-03 02:00:00,4.398,1.000,34.944,1.000,2.203,65.829,400,333,2021-05-03,2021-05,0.447,34.916
